Acid,Base,AcidName,BaseName,AcidStrength,BaseStrength,Reaction
HI,NH4OH,Hydroiodic acid,Ammonium hydroxide,Strong,Weak,HI + NH4OH → Salt + H₂O
CH3COOH,Zn(OH)2,Acetic acid,Zinc hydroxide,Weak,Weak,CH3COOH + Zn(OH)2 → Salt + H₂O
HI,Ba(OH)2,Hydroiodic acid,Barium hydroxide,Strong,Strong,HI + Ba(OH)2 → Salt + H₂O
H2SO4,LiOH,Sulfuric acid,Lithium hydroxide,Strong,Strong,H2SO4 + LiOH → Salt + H₂O
HCl,NH4OH,Hydrochloric acid,Ammonium hydroxide,Strong,Weak,HCl + NH4OH → Salt + H₂O
HBr,Mg(OH)2,Hydrobromic acid,Magnesium hydroxide,Strong,Weak,HBr + Mg(OH)2 → Salt + H₂O
HI,Mg(OH)2,Hydroiodic acid,Magnesium hydroxide,Strong,Weak,HI + Mg(OH)2 → Salt + H₂O
HCl,Ca(OH)2,Hydrochloric acid,Calcium hydroxide,Strong,Strong,HCl + Ca(OH)2 → Salt + H₂O
H3PO4,NH4OH,Phosphoric acid,Ammonium hydroxide,Weak,Weak,H3PO4 + NH4OH → Salt + H₂O
HNO3,KOH,Nitric acid,Potassium hydroxide,Strong,Strong,HNO3 + KOH → Salt + H₂O
HBr,NaOH,Hydrobromic acid,Sodium hydroxide,Strong,Strong,HBr + NaOH → Salt + H₂O
HClO4,Mg(OH)2,Perchloric acid,Magnesium hydroxide,Strong,Weak,HClO4 + Mg(OH)2 → Salt + H₂O
H2SO4,Zn(OH)2,Sulfuric acid,Zinc hydroxide,Strong,Weak,H2SO4 + Zn(OH)2 → Salt + H₂O
HNO3,Al(OH)3,Nitric acid,Aluminum hydroxide,Strong,Weak,HNO3 + Al(OH)3 → Salt + H₂O
HClO4,KOH,Perchloric acid,Potassium hydroxide,Strong,Strong,HClO4 + KOH → Salt + H₂O
H2CO3,LiOH,Carbonic acid,Lithium hydroxide,Weak,Strong,H2CO3 + LiOH → Salt + H₂O
H2CO3,Sr(OH)2,Carbonic acid,Strontium hydroxide,Weak,Strong,H2CO3 + Sr(OH)2 → Salt + H₂O
H2CO3,KOH,Carbonic acid,Potassium hydroxide,Weak,Strong,H2CO3 + KOH → Salt + H₂O
HNO3,Al(OH)3,Nitric acid,Aluminum hydroxide,Strong,Weak,HNO3 + Al(OH)3 → Salt + H₂O
CH3COOH,Sr(OH)2,Acetic acid,Strontium hydroxide,Weak,Strong,CH3COOH + Sr(OH)2 → Salt + H₂O
H3PO4,NaOH,Phosphoric acid,Sodium hydroxide,Weak,Strong,H3PO4 + NaOH → Salt + H₂O
HI,Al(OH)3,Hydroiodic acid,Aluminum hydroxide,Strong,Weak,HI + Al(OH)3 → Salt + H₂O
CH3COOH,NaOH,Acetic acid,Sodium hydroxide,Weak,Strong,CH3COOH + NaOH → Salt + H₂O
HClO4,Mg(OH)2,Perchloric acid,Magnesium hydroxide,Strong,Weak,HClO4 + Mg(OH)2 → Salt + H₂O
HBr,NaOH,Hydrobromic acid,Sodium hydroxide,Strong,Strong,HBr + NaOH → Salt + H₂O
HI,Zn(OH)2,Hydroiodic acid,Zinc hydroxide,Strong,Weak,HI + Zn(OH)2 → Salt + H₂O
H2CO3,Sr(OH)2,Carbonic acid,Strontium hydroxide,Weak,Strong,H2CO3 + Sr(OH)2 → Salt + H₂O
HCl,NaOH,Hydrochloric acid,Sodium hydroxide,Strong,Strong,HCl + NaOH → Salt + H₂O
HNO3,Zn(OH)2,Nitric acid,Zinc hydroxide,Strong,Weak,HNO3 + Zn(OH)2 → Salt + H₂O
HClO4,Ca(OH)2,Perchloric acid,Calcium hydroxide,Strong,Strong,HClO4 + Ca(OH)2 → Salt + H₂O
HF,Mg(OH)2,Hydrofluoric acid,Magnesium hydroxide,Weak,Weak,HF + Mg(OH)2 → Salt + H₂O
HBr,NaOH,Hydrobromic acid,Sodium hydroxide,Strong,Strong,HBr + NaOH → Salt + H₂O
HF,NH4OH,Hydrofluoric acid,Ammonium hydroxide,Weak,Weak,HF + NH4OH → Salt + H₂O
HNO3,Zn(OH)2,Nitric acid,Zinc hydroxide,Strong,Weak,HNO3 + Zn(OH)2 → Salt + H₂O
H3PO4,Al(OH)3,Phosphoric acid,Aluminum hydroxide,Weak,Weak,H3PO4 + Al(OH)3 → Salt + H₂O
H2SO4,LiOH,Sulfuric acid,Lithium hydroxide,Strong,Strong,H2SO4 + LiOH → Salt + H₂O
HF,LiOH,Hydrofluoric acid,Lithium hydroxide,Weak,Strong,HF + LiOH → Salt + H₂O
H2SO4,Zn(OH)2,Sulfuric acid,Zinc hydroxide,Strong,Weak,H2SO4 + Zn(OH)2 → Salt + H₂O
HI,Al(OH)3,Hydroiodic acid,Aluminum hydroxide,Strong,Weak,HI + Al(OH)3 → Salt + H₂O
H3PO4,Al(OH)3,Phosphoric acid,Aluminum hydroxide,Weak,Weak,H3PO4 + Al(OH)3 → Salt + H₂O
HNO3,Mg(OH)2,Nitric acid,Magnesium hydroxide,Strong,Weak,HNO3 + Mg(OH)2 → Salt + H₂O
HF,NH4OH,Hydrofluoric acid,Ammonium hydroxide,Weak,Weak,HF + NH4OH → Salt + H₂O
H2CO3,Mg(OH)2,Carbonic acid,Magnesium hydroxide,Weak,Weak,H2CO3 + Mg(OH)2 → Salt + H₂O
HNO3,Al(OH)3,Nitric acid,Aluminum hydroxide,Strong,Weak,HNO3 + Al(OH)3 → Salt + H₂O
CH3COOH,Ca(OH)2,Acetic acid,Calcium hydroxide,Weak,Strong,CH3COOH + Ca(OH)2 → Salt + H₂O
HBr,KOH,Hydrobromic acid,Potassium hydroxide,Strong,Strong,HBr + KOH → Salt + H₂O
HI,LiOH,Hydroiodic acid,Lithium hydroxide,Strong,Strong,HI + LiOH → Salt + H₂O
H2SO4,NH4OH,Sulfuric acid,Ammonium hydroxide,Strong,Weak,H2SO4 + NH4OH → Salt + H₂O
HNO3,Ca(OH)2,Nitric acid,Calcium hydroxide,Strong,Strong,HNO3 + Ca(OH)2 → Salt + H₂O
HClO4,NH4OH,Perchloric acid,Ammonium hydroxide,Strong,Weak,HClO4 + NH4OH → Salt + H₂O
HNO3,Sr(OH)2,Nitric acid,Strontium hydroxide,Strong,Strong,HNO3 + Sr(OH)2 → Salt + H₂O
HI,Sr(OH)2,Hydroiodic acid,Strontium hydroxide,Strong,Strong,HI + Sr(OH)2 → Salt + H₂O
HNO3,Ba(OH)2,Nitric acid,Barium hydroxide,Strong,Strong,HNO3 + Ba(OH)2 → Salt + H₂O
HCl,Mg(OH)2,Hydrochloric acid,Magnesium hydroxide,Strong,Weak,HCl + Mg(OH)2 → Salt + H₂O
HI,KOH,Hydroiodic acid,Potassium hydroxide,Strong,Strong,HI + KOH → Salt + H₂O
H3PO4,NH4OH,Phosphoric acid,Ammonium hydroxide,Weak,Weak,H3PO4 + NH4OH → Salt + H₂O
H3PO4,Ca(OH)2,Phosphoric acid,Calcium hydroxide,Weak,Strong,H3PO4 + Ca(OH)2 → Salt + H₂O
HBr,Ca(OH)2,Hydrobromic acid,Calcium hydroxide,Strong,Strong,HBr + Ca(OH)2 → Salt + H₂O
HCl,NaOH,Hydrochloric acid,Sodium hydroxide,Strong,Strong,HCl + NaOH → Salt + H₂O
CH3COOH,Mg(OH)2,Acetic acid,Magnesium hydroxide,Weak,Weak,CH3COOH + Mg(OH)2 → Salt + H₂O
HClO4,Ba(OH)2,Perchloric acid,Barium hydroxide,Strong,Strong,HClO4 + Ba(OH)2 → Salt + H₂O
HClO4,LiOH,Perchloric acid,Lithium hydroxide,Strong,Strong,HClO4 + LiOH → Salt + H₂O
HF,Al(OH)3,Hydrofluoric acid,Aluminum hydroxide,Weak,Weak,HF + Al(OH)3 → Salt + H₂O
HI,LiOH,Hydroiodic acid,Lithium hydroxide,Strong,Strong,HI + LiOH → Salt + H₂O
H2SO4,Mg(OH)2,Sulfuric acid,Magnesium hydroxide,Strong,Weak,H2SO4 + Mg(OH)2 → Salt + H₂O
HNO3,KOH,Nitric acid,Potassium hydroxide,Strong,Strong,HNO3 + KOH → Salt + H₂O
H2CO3,Sr(OH)2,Carbonic acid,Strontium hydroxide,Weak,Strong,H2CO3 + Sr(OH)2 → Salt + H₂O
H3PO4,KOH,Phosphoric acid,Potassium hydroxide,Weak,Strong,H3PO4 + KOH → Salt + H₂O
HClO4,Ca(OH)2,Perchloric acid,Calcium hydroxide,Strong,Strong,HClO4 + Ca(OH)2 → Salt + H₂O
HF,Mg(OH)2,Hydrofluoric acid,Magnesium hydroxide,Weak,Weak,HF + Mg(OH)2 → Salt + H₂O
CH3COOH,NaOH,Acetic acid,Sodium hydroxide,Weak,Strong,CH3COOH + NaOH → Salt + H₂O
HI,NaOH,Hydroiodic acid,Sodium hydroxide,Strong,Strong,HI + NaOH → Salt + H₂O
HCl,Zn(OH)2,Hydrochloric acid,Zinc hydroxide,Strong,Weak,HCl + Zn(OH)2 → Salt + H₂O
HI,KOH,Hydroiodic acid,Potassium hydroxide,Strong,Strong,HI + KOH → Salt + H₂O
HClO4,KOH,Perchloric acid,Potassium hydroxide,Strong,Strong,HClO4 + KOH → Salt + H₂O
CH3COOH,Ba(OH)2,Acetic acid,Barium hydroxide,Weak,Strong,CH3COOH + Ba(OH)2 → Salt + H₂O
HF,Sr(OH)2,Hydrofluoric acid,Strontium hydroxide,Weak,Strong,HF + Sr(OH)2 → Salt + H₂O
HNO3,NaOH,Nitric acid,Sodium hydroxide,Strong,Strong,HNO3 + NaOH → Salt + H₂O
H2SO4,KOH,Sulfuric acid,Potassium hydroxide,Strong,Strong,H2SO4 + KOH → Salt + H₂O
H3PO4,Sr(OH)2,Phosphoric acid,Strontium hydroxide,Weak,Strong,H3PO4 + Sr(OH)2 → Salt + H₂O
H2SO4,NaOH,Sulfuric acid,Sodium hydroxide,Strong,Strong,H2SO4 + NaOH → Salt + H₂O
HF,Zn(OH)2,Hydrofluoric acid,Zinc hydroxide,Weak,Weak,HF + Zn(OH)2 → Salt + H₂O
HBr,Mg(OH)2,Hydrobromic acid,Magnesium hydroxide,Strong,Weak,HBr + Mg(OH)2 → Salt + H₂O
H3PO4,Ba(OH)2,Phosphoric acid,Barium hydroxide,Weak,Strong,H3PO4 + Ba(OH)2 → Salt + H₂O
HClO4,Zn(OH)2,Perchloric acid,Zinc hydroxide,Strong,Weak,HClO4 + Zn(OH)2 → Salt + H₂O
HNO3,KOH,Nitric acid,Potassium hydroxide,Strong,Strong,HNO3 + KOH → Salt + H₂O
HClO4,LiOH,Perchloric acid,Lithium hydroxide,Strong,Strong,HClO4 + LiOH → Salt + H₂O
H2SO4,Mg(OH)2,Sulfuric acid,Magnesium hydroxide,Strong,Weak,H2SO4 + Mg(OH)2 → Salt + H₂O
HClO4,LiOH,Perchloric acid,Lithium hydroxide,Strong,Strong,HClO4 + LiOH → Salt + H₂O
HBr,Zn(OH)2,Hydrobromic acid,Zinc hydroxide,Strong,Weak,HBr + Zn(OH)2 → Salt + H₂O
HI,Zn(OH)2,Hydroiodic acid,Zinc hydroxide,Strong,Weak,HI + Zn(OH)2 → Salt + H₂O
HNO3,Al(OH)3,Nitric acid,Aluminum hydroxide,Strong,Weak,HNO3 + Al(OH)3 → Salt + H₂O
H3PO4,Sr(OH)2,Phosphoric acid,Strontium hydroxide,Weak,Strong,H3PO4 + Sr(OH)2 → Salt + H₂O
H2SO4,Mg(OH)2,Sulfuric acid,Magnesium hydroxide,Strong,Weak,H2SO4 + Mg(OH)2 → Salt + H₂O
H2SO4,Ba(OH)2,Sulfuric acid,Barium hydroxide,Strong,Strong,H2SO4 + Ba(OH)2 → Salt + H₂O
HI,LiOH,Hydroiodic acid,Lithium hydroxide,Strong,Strong,HI + LiOH → Salt + H₂O
HCl,Zn(OH)2,Hydrochloric acid,Zinc hydroxide,Strong,Weak,HCl + Zn(OH)2 → Salt + H₂O
HI,Zn(OH)2,Hydroiodic acid,Zinc hydroxide,Strong,Weak,HI + Zn(OH)2 → Salt + H₂O
CH3COOH,Ba(OH)2,Acetic acid,Barium hydroxide,Weak,Strong,CH3COOH + Ba(OH)2 → Salt + H₂O
H2SO4,Sr(OH)2,Sulfuric acid,Strontium hydroxide,Strong,Strong,H2SO4 + Sr(OH)2 → Salt + H₂O
